aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.DatasourceFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.ExprFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.LineageFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.query.AMQueryFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.AcceleratePlanFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.ApiInfoFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.DataModelDraftFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.MetricPublishServiceFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
airserviceproducersum{name="jscip",currentcount="17",servicename="jscip",notifiedperson="",normalcount="17"} 1
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.DataSourceFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.HealthmonitorFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.RoleFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserQueryFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserSourceConfigFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.CipDataSourceFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserPropertyFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.alibaba.cloud.dubbo.service.DubboMetadataService:1.0.0:jscip",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.DataAcqTaskFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserPropertyDefFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.UserTenantRelationFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.common.service.session.facade.CipSessionRepositoryFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.common.service.session.facade.SessionFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.DataStatisticsFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.TenantFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.jscip.facade.WorkspaceFacade:1.0.0:",healthytcount="1",servicename="jscip",notifiedperson="",normalcount="1"} 2
